@relation relationARFF

@attribute QueryID string
@attribute WorkflowClass {urn:eu.larkc.plugin.SOStoVBtransformerThreadsCPULoad_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,urn:eu.larkc.plugin.SOStoVBtransformerCPULoad_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformerCPULoad_,urn:eu.larkc.plugin.SOStoVBtransformer_urn:eu.larkc.plugin.identifier.gwas.GWASIdentifier_,urn:eu.larkc.plugin.SOStoVBtransformer_}
@attribute QuerySizeInCharacters numeric
@attribute QueryNamespaceNb numeric
@attribute QueryVariablesNb numeric
@attribute QueryDataSetSourcesNb numeric
@attribute QueryOperatorsNb numeric
@attribute QueryLiteralsNb numeric
@attribute QueryResultOrderingNb numeric
@attribute QueryResultLimitNb numeric
@attribute QueryResultOffsetNb numeric
@attribute QueryAllocatedMemoryBefore numeric
@attribute QueryUsedMemoryBefore numeric
@attribute QueryFreeMemoryBefore numeric
@attribute QueryUnallocatedMemoryBefore numeric
@attribute QueryErrorStatus {false,true}
@attribute QueryResultSizeInCharacters numeric
@attribute QueryTotalResponseTime numeric
@attribute QueryProcessTotalCPUTime numeric
@attribute QueryThreadTotalCPUTime numeric
@attribute QueryThreadUserCPUTime numeric
@attribute QueryThreadSystemCPUTime numeric
@attribute QueryThreadCount numeric
@attribute QueryThreadBlockCount numeric
@attribute QueryThreadBlockTime numeric
@attribute QueryThreadWaitCount numeric
@attribute QueryThreadWaitTime numeric
@attribute QueryThreadGccCount numeric
@attribute QueryThreadGccTime numeric
@attribute QueryAllocatedMemoryAfter numeric
@attribute QueryUsedMemoryAfter numeric
@attribute QueryFreeMemoryAfter numeric
@attribute QueryUnallocatedMemoryAfter numeric
@attribute QueryDataLayerInserts numeric
@attribute QueryDataLayerSelects numeric
@attribute QueryNumberOfExceptions numeric
@attribute QueryNumberOfOutOfMemoryExceptions numeric
@attribute QueryNumberOfMalformedSparqlQueryExceptions numeric
@attribute WorkflowTotalResponseTime numeric
@attribute WorkflowProcessTotalCPUTime numeric
@attribute WorkflowThreadTotalCPUTime numeric
@attribute WorkflowThreadUserCPUTime numeric
@attribute WorkflowThreadSystemCPUTime numeric
@attribute WorkflowThreadCount numeric
@attribute WorkflowThreadBlockCount numeric
@attribute WorkflowThreadBlockTime numeric
@attribute WorkflowThreadWaitCount numeric
@attribute WorkflowThreadWaitTime numeric
@attribute WorkflowThreadGccCount numeric
@attribute WorkflowThreadGccTime numeric
@attribute PlatformGccTime numeric
@attribute PlatformUnallocatedMemory numeric
@attribute PlatformAvgCPUUsage numeric
@attribute SystemTotalFreeMemory numeric
@attribute SystemWaitCPUTime numeric
@attribute SystemLoopbackNetworkSent numeric

@data
55a27b81-6712-4b76-85fb-e4379b3e15d5,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,64,0,3,0,0,0,0,0,0,321019904,164107520,156912384,996712448,false,228101,32,15,15,15,0,0,2,0,1,22,0,0,321019904,175711448,145308456,996712448,?,?,?,?,?,16,0,0,0,0,0,1,0,1,22,0,0,0,996712448,0.058536,2351096,0,0
c50f609c-bc1f-44d8-b7e2-eaecb5aac443,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,66,0,3,0,0,0,0,0,0,321019904,176512648,144507256,996712448,false,1427,15,15,0,0,0,0,2,0,1,2,0,0,321019904,176765808,144254096,996712448,?,?,?,?,?,15,15,0,0,0,0,1,0,1,2,0,0,0,996712448,0.058536,2351096,0,0
064516da-5e87-4dad-905f-5a98742696fe,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,84,0,3,0,0,0,0,0,0,321019904,177567008,143452896,996712448,false,41628,78,15,0,0,0,0,2,1,1,74,0,0,321019904,180465680,140554224,996712448,?,?,?,?,?,78,15,0,0,0,0,1,0,1,74,0,0,0,996712448,0.058536,2351096,0,0
39911d56-beab-4f54-84e9-d6292d3c6d18,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,98,0,3,0,0,0,0,0,0,321019904,181266880,139753024,996712448,false,5112,15,15,15,15,0,0,2,0,1,2,0,0,321019904,182135360,138884544,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,2,0,0,0,996712448,0.058536,2351096,0,0
9532ab94-b369-4c18-87dc-02dc3287c118,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,64,0,3,0,0,0,0,0,0,321019904,182936560,138083344,996712448,false,514696,453,93,31,31,0,0,2,0,1,425,0,0,321019904,212264336,108755568,996712448,?,?,?,?,?,422,62,0,0,0,0,1,0,1,425,0,0,0,996712448,0.058536,2351096,0,0
6945a684-7fbe-47e0-b272-1fc4900b01e0,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,66,0,3,0,0,0,0,0,0,321019904,213119208,107900696,996712448,false,45132,0,0,0,0,0,0,2,0,1,5,0,0,321019904,215670576,105349328,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,5,0,0,0,996712448,0.058536,2351096,0,0
75bfe39d-bf37-4e1c-af88-11caacce548f,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,62,0,3,0,0,0,0,0,0,321019904,216680048,104339856,996712448,false,513994,188,187,46,46,0,0,1,0,1,139,1,10,321019904,182467992,138551912,996712448,?,?,?,?,?,140,140,0,0,0,0,1,0,1,139,1,10,0,996712448,0.058536,2351096,0,0
60176148-ee81-4771-bca0-30431ddd1221,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,65,0,3,0,0,0,0,0,0,321019904,184626472,136393432,996712448,false,106161,31,15,15,15,0,0,2,0,1,11,0,0,321019904,190093960,130925944,996712448,?,?,?,?,?,16,0,0,0,0,0,1,0,1,11,0,0,0,996712448,0.058536,2351096,0,0
f9d88741-4d4d-4916-aa22-27a8e0cac399,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,68,0,3,0,0,0,0,0,0,321019904,190909984,130109920,996712448,false,21949,16,15,15,0,15,0,2,0,1,4,0,0,321019904,192399272,128620632,996712448,?,?,?,?,?,0,0,0,0,0,0,1,0,1,4,0,0,32,996712448,0.059661,2351096,0,0
38e5dad2-066b-466c-9f30-cc057b2b9a03,urn:eu.larkc.plugin.LLDReasoner_urn:eu.larkc.plugin.SOStoVBtransformer_,65,0,3,0,0,0,0,0,0,321019904,193626576,127393328,996712448,false,1426,16,15,15,15,0,0,2,0,1,2,0,0,321019904,193879736,127140168,996712448,?,?,?,?,?,0,15,0,0,0,0,1,0,1,2,0,0,32,996712448,0.059661,2351096,0,0
